0,1,2,3
https://openalex.org/W3170644058,2021,12,"['https://openalex.org/A5010879920', 'https://openalex.org/A5048901866', 'https://openalex.org/A5006695988', 'https://openalex.org/A5048404778', 'https://openalex.org/A5044130443']"
https://openalex.org/W15988238,2013,24,"['https://openalex.org/A5041638381', 'https://openalex.org/A5044130443', 'https://openalex.org/A5025977681', 'https://openalex.org/A5071422618']"
https://openalex.org/W2111478485,2014,22,"['https://openalex.org/A5044130443', 'https://openalex.org/A5025977681', 'https://openalex.org/A5071422618', 'https://openalex.org/A5059167530']"
https://openalex.org/W2049616197,2014,19,"['https://openalex.org/A5071422618', 'https://openalex.org/A5044130443']"
https://openalex.org/W3101900272,2020,15,"['https://openalex.org/A5048901866', 'https://openalex.org/A5058284930', 'https://openalex.org/A5044130443']"
https://openalex.org/W2094373579,2013,19,"['https://openalex.org/A5044130443', 'https://openalex.org/A5023905564', 'https://openalex.org/A5063359447']"
https://openalex.org/W54088320,2014,16,"['https://openalex.org/A5044130443', 'https://openalex.org/A5025977681', 'https://openalex.org/A5071422618']"
https://openalex.org/W2941542619,2019,14,"['https://openalex.org/A5044130443', 'https://openalex.org/A5038100788', 'https://openalex.org/A5003528361']"
https://openalex.org/W2883588085,2018,13,"['https://openalex.org/A5069791094', 'https://openalex.org/A5044130443', 'https://openalex.org/A5072548400']"
https://openalex.org/W2034428220,2014,11,"['https://openalex.org/A5044130443', 'https://openalex.org/A5025977681', 'https://openalex.org/A5071422618', 'https://openalex.org/A5059167530']"
https://openalex.org/W3142588439,2010,2176,"['https://openalex.org/A5017669758', 'https://openalex.org/A5055710645']"
https://openalex.org/W2432978112,2006,1567,"['https://openalex.org/A5081744093', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645', 'https://openalex.org/A5019027303']"
https://openalex.org/W2127492100,2009,1299,"['https://openalex.org/A5091272738', 'https://openalex.org/A5081744093', 'https://openalex.org/A5055710645']"
https://openalex.org/W2073415627,2010,1191,"['https://openalex.org/A5091272738', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
https://openalex.org/W2142517301,2010,998,"['https://openalex.org/A5091272738', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
https://openalex.org/W1521478692,2003,954,['https://openalex.org/A5055710645']
https://openalex.org/W2026302857,2002,866,['https://openalex.org/A5055710645']
https://openalex.org/W1654194294,2005,680,"['https://openalex.org/A5064274071', 'https://openalex.org/A5055710645', 'https://openalex.org/A5025175846']"
https://openalex.org/W2156020699,2012,594,"['https://openalex.org/A5072263832', 'https://openalex.org/A5081744093', 'https://openalex.org/A5072506448', 'https://openalex.org/A5055710645']"
https://openalex.org/W2128891547,2008,495,"['https://openalex.org/A5003268415', 'https://openalex.org/A5007755189', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645', 'https://openalex.org/A5051257652']"
https://openalex.org/W2095094403,2008,443,"['https://openalex.org/A5027826222', 'https://openalex.org/A5061449196', 'https://openalex.org/A5055710645', 'https://openalex.org/A5025175846', 'https://openalex.org/A5025992076', 'https://openalex.org/A5022886322']"
https://openalex.org/W1995629273,2010,418,"['https://openalex.org/A5003268415', 'https://openalex.org/A5081744093', 'https://openalex.org/A5007755189', 'https://openalex.org/A5051257652', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
https://openalex.org/W2203167467,2015,380,"['https://openalex.org/A5055710645', 'https://openalex.org/A5085753634', 'https://openalex.org/A5034703281', 'https://openalex.org/A5017000481']"
